trace id	cache space	replace space	access count	miss rate	write mem count	read mem count	read miss
1	114688	6144	507700	4.6	8679	23232	4347
2	114688	6144	544514	1.2	0	6627	3371
3	114688	6144	501468	23.3	73686	116766	30079
4	114688	6144	507441	1.8	233	9084	5004
