trace id	cache space	replace space	access count	miss rate	write mem count	read mem count	read miss
1	114688	0	507700	4.9	10347	25104	5249
2	114688	0	544514	2.1	2307	11225	5663
3	114688	0	501468	23.4	72404	117324	30716
4	114688	0	507441	3.7	5337	18607	11408
