trace id	cache space	replace space	access count	miss rate	write mem count	read mem count	read miss
1	114688	2048	507700	11.1	52203	4390	4390
2	114688	2048	544514	8.7	43296	3913	3913
3	114688	2048	501468	34.5	142314	30934	30934
4	114688	2048	507441	4.7	16555	7159	7159
