trace id	cache space	replace space	access count	miss rate	write mem count	read mem count	read miss
1	114688	2048	507700	4.6	227518	23232	4347
2	114688	2048	544514	1.2	175170	6627	3371
3	114688	2048	501468	23.3	211702	116785	30094
4	114688	2048	507441	1.8	205389	9050	4992
