trace id	cache space	replace space	access count	miss rate	write mem count	read mem count	read miss
1	114688	2048	507700	4.6	8665	23232	4347
2	114688	2048	544514	1.2	0	6627	3371
3	114688	2048	501468	23.3	73910	116747	30119
4	114688	2048	507441	2.0	1081	10378	5654
