trace id	cache space	replace space	access count	miss rate	write mem count	read mem count	read miss
1	131072	2048	507700	4.6	6744	23232	4347
2	131072	2048	544514	1.2	0	6627	3371
3	131072	2048	501468	23.3	71107	116642	30207
4	131072	2048	507441	1.8	0	8901	4931
