trace id	cache space	replace space	access count	miss rate	write mem count	read mem count	read miss
1	28672	512	507700	1.8	5033	9263	1542
2	28672	512	544514	0.3	0	1668	851
3	28672	512	501468	9.6	34882	48284	9840
4	28672	512	507441	1.1	1316	5514	3508
