| 8, 1  | 4.9 | 2.1 | 23.4 | 3.7 | 8.5 |
| 8, 4  | 4.6 | 1.2 | 23.3 | 2.0 | 7.8 |
| 8, 8  | 4.6 | 1.2 | 23.3 | 1.8 | 7.7 |
| 8, 0  | 4.6 | 1.2 | 23.3 | 1.8 | 7.7 |
| 32, 1 | 2.2 | 1.3 | 9.8 | 2.3 | 3.9 |
| 32, 4 | 1.8 | 0.3 | 9.6 | 1.1 | 3.2 |
| 32, 8 | 1.8 | 0.3 | 9.6 | 0.8 | 3.1 |
| 32, 0 | 1.8 | 0.3 | 9.6 | 0.7 | 3.1 |
| 64, 1 | 1.5 | 1.6 | 5.3 | 1.9 | 2.6 |
| 64, 4 | 1.1 | 0.2 | 5.0 | 0.8 | 1.8 |
| 64, 8 | 1.1 | 0.2 | 5.0 | 0.6 | 1.7 |
| 64, 0 | 1.1 | 0.2 | 5.0 | 0.4 | 1.7 |
